Salt,Source,Source_Type,Temperature_C,Pressure_MPa,Molality_molkg,Conductivity_mScm,Notes,Replicate,Mixture,Conductivity_Ratio
NaCl,Pan2021,experimental,-21.65,800.0,0.901,0.000233,molality HELD: needs Pan/Reaktoro density (out of hull),,False,
NaCl,Pan2021,experimental,-5.15,1000.0,0.901,0.00208,molality HELD: needs Pan/Reaktoro density (out of hull),,False,
NaCl,Pan2021,experimental,-24.15,800.0,0.901,5.54e-05,molality HELD: needs Pan/Reaktoro density (out of hull),,False,
NaCl,Pan2021,experimental,-2.15,1000.0,0.901,0.012,molality HELD: needs Pan/Reaktoro density (out of hull),,False,
NaCl,Pan2021,experimental,-26.65,800.0,0.901,4.4e-05,molality HELD: needs Pan/Reaktoro density (out of hull),,False,
NaCl,Pan2021,experimental,1.85,1000.0,0.901,4.83,molality HELD: needs Pan/Reaktoro density (out of hull),,False,
NaCl,Pan2021,experimental,-19.15,800.0,0.901,0.000694,molality HELD: needs Pan/Reaktoro density (out of hull),,False,
NaCl,Pan2021,experimental,4.85,1000.0,0.901,5.57,molality HELD: needs Pan/Reaktoro density (out of hull),,False,
NaCl,Pan2021,experimental,-9.15,800.0,0.7668657176975037,2.7,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,7.85,1000.0,0.901,6.58,molality HELD: needs Pan/Reaktoro density (out of hull),,False,
NaCl,Pan2021,experimental,-7.15,800.0,0.7676618789159123,3.37,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,9.85,1000.0,0.901,7.26,molality HELD: needs Pan/Reaktoro density (out of hull),,False,
NaCl,Pan2021,experimental,-5.15,800.0,0.7684606009047826,3.78,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,13.35,1000.0,0.901,8.7,molality HELD: needs Pan/Reaktoro density (out of hull),,False,
NaCl,Pan2021,experimental,-1.15,800.0,0.770065770573921,4.86,molality via in-hull density interp from Pan completed rows,,False,
NaCl,Pan2021,experimental,16.35,1000.0,0.901,10.0,molality HELD: needs Pan/Reaktoro density (out of hull),,False,
NaCl,Pan2021,experimental,0.85,800.0,0.7708722401031962,5.52,molality via in-hull density interp from Pan completed rows,,False,
